# V_std   s_V   (b-y)_s  s_by 
  11.498   .035    .650   .054
  12.961   .035    .570   .053
  12.772   .034    .479   .051
  10.767   .036    .705   .055
  12.548   .033    .393   .050
  11.623   .035    .655   .054
  12.707   .033    .389   .050
  16.036   .039    .445   .057
  12.120   .035    .627   .054
  12.243   .033    .380   .050
  15.504   .037    .578   .056
  18.544   .073    .967   .113
  14.013   .033    .409   .051
  13.613   .033    .380   .050
  12.854   .032    .357   .049
  18.138   .065    .905   .092
  12.714   .033    .388   .050
  11.084   .030    .106   .046
  14.178   .034    .403   .051
  12.243   .030    .152   .046
  12.648   .033    .398   .050
  12.639   .033    .387   .050
  12.088   .035    .615   .054
  14.393   .034    .483   .052
  13.306   .032    .334   .049
  10.554   .036    .693   .055
  12.672   .033    .449   .051
  12.787   .032    .324   .049
  17.691   .057   1.008   .087
  10.960   .029    .059   .045
  14.753   .034    .455   .052
  10.495   .036    .701   .055
  15.573   .037    .533   .056
  12.563   .033    .387   .050
  13.259   .033    .385   .050
  14.530   .034    .459   .052
  13.499   .033    .402   .050
  12.859   .034    .494   .052
  12.841   .033    .374   .050
  13.287   .032    .318   .049
  12.715   .032    .374   .050
  11.456   .035    .656   .054
  12.282   .033    .376   .050
  12.918   .032    .302   .049
  12.789   .032    .366   .049
  16.577   .044    .688   .064
  12.663   .033    .403   .050
  18.384   .072    .560   .098
  13.099   .033    .371   .050
  11.154   .036    .674   .055
  12.427   .034    .479   .051
  13.008   .034    .535   .052
  12.692   .032    .336   .049
  15.036   .035    .475   .053
  12.812   .033    .379   .050
  12.849   .033    .371   .050
  15.735   .038    .540   .056
  13.400   .033    .385   .050
  15.564   .037    .526   .055
  13.807   .033    .398   .050
  12.409   .035    .604   .053
  17.316   .052    .795   .076
  18.117   .066    .934   .101
  18.736   .090    .935   .129
  15.908   .074    .679   .112
  17.930   .058    .143   .077
  15.950   .039    .407   .057
  17.854   .062    .820   .090
  16.836   .050    .861   .072
  15.938   .040    .538   .058
  18.290   .073    .999   .105
  13.359   .033    .388   .050
  16.233   .040    .508   .059
  13.099   .033    .375   .050
  15.738   .038    .548   .056
  17.179   .052    .606   .073
  17.777   .061    .877   .086
  12.409   .033    .394   .050
  15.526   .038    .672   .058
  17.486   .056    .509   .075
  11.249   .036    .673   .054
  14.946   .036    .471   .053
  14.098   .034    .408   .051
  14.921   .035    .480   .053
  16.392   .041    .580   .061
  13.795   .033    .387   .050
  13.845   .033    .385   .050
  16.798   .046    .793   .069
  13.786   .033    .394   .050
  15.330   .036    .504   .054
  16.471   .043    .653   .063
  17.231   .049    .750   .072
  13.527   .033    .390   .050
  17.961   .055    .622   .084
  12.583   .033    .388   .050
  15.524   .037    .534   .055
  17.328   .054    .906   .077
  15.177   .036    .531   .055
  14.480   .034    .425   .051
  12.702   .033    .452   .051
  12.260   .035    .632   .054
  16.707   .042    .439   .061
  15.299   .037    .505   .054
  18.020   .064    .920   .091
  14.597   .034    .443   .052
  15.491   .037    .592   .056
  14.952   .036    .532   .054
  10.931   .030    .150   .046
  14.189   .033    .404   .051
  13.694   .033    .364   .050
  17.615   .056    .626   .079
  13.202   .033    .411   .050
  15.202   .036    .494   .054
  15.254   .036    .502   .054
  15.174   .035    .494   .054
  15.747   .038    .560   .057
  17.885   .062    .825   .089
  14.608   .034    .448   .052
  12.778   .034    .509   .052
  16.257   .041    .620   .060
  16.372   .042    .706   .062
  15.500   .036    .527   .055
  14.013   .033    .410   .051
  13.079   .033    .388   .050
  15.449   .036    .523   .055
  16.686   .041    .449   .060
  14.908   .035    .484   .053
  17.580   .054    .820   .079
  16.577   .044    .783   .065
  13.714   .033    .402   .050
  15.880   .039    .667   .059
  12.703   .033    .389   .050
  17.853   .063    .811   .087
  13.156   .033    .386   .050
  15.769   .038    .650   .058
  14.900   .035    .479   .053
  17.671   .056    .841   .082
  17.867   .062    .768   .087
  14.104   .033    .414   .051
  12.933   .035    .567   .053
  12.836   .033    .403   .050
  15.756   .037    .572   .056
  17.582   .057    .838   .083
  15.003   .035    .501   .053
  13.823   .033    .411   .050
  15.828   .038    .607   .058
  14.988   .036    .554   .054
  12.816   .033    .386   .050
  14.417   .034    .433   .051
  16.653   .044    .693   .065
  14.660   .035    .498   .053
  14.753   .033    .341   .050
  14.180   .034    .424   .051
  12.757   .033    .393   .050
  15.348   .035    .393   .053
  17.212   .051    .701   .072
  13.501   .033    .376   .050
  17.980   .064    .900   .094
  13.254   .033    .374   .050
  16.194   .040    .610   .060
  17.657   .058    .999   .088
  13.276   .033    .398   .050
  14.185   .034    .454   .051
  14.142   .033    .390   .051
  14.969   .035    .463   .053
  15.089   .036    .494   .054
  11.492   .034    .561   .053
  16.257   .042    .588   .060
  16.433   .042    .608   .061
  14.350   .035    .525   .053
  14.181   .034    .415   .051
  16.401   .042    .613   .061
  16.387   .044    .717   .065
  16.234   .039    .397   .057
  17.519   .052    .458   .071
  13.310   .033    .385   .050
  16.678   .046    .706   .067
  15.713   .037    .556   .056
  13.216   .033    .379   .050
  14.210   .034    .430   .051
  15.292   .036    .514   .054
  14.070   .034    .429   .051
  17.092   .048    .740   .070
  15.221   .036    .500   .054
  16.252   .040    .628   .060
  13.124   .033    .393   .050
  15.837   .039    .636   .058
  13.208   .033    .385   .050
  13.176   .033    .375   .050
  17.693   .054    .855   .082
  13.968   .033    .392   .050
  13.887   .033    .392   .050
  14.331   .034    .430   .051
  16.873   .048    .661   .068
  15.684   .037    .543   .056
  17.767   .056    .354   .076
  18.023   .064    .842   .093
  13.710   .033    .381   .050
  13.886   .033    .383   .050
  18.896   .103    .981   .144
  12.555   .033    .394   .050
  12.598   .034    .505   .052
  13.043   .034    .543   .052
  13.449   .033    .392   .050
  16.803   .047    .749   .067
  15.624   .039    .626   .058
  14.317   .034    .422   .051
  12.747   .032    .370   .050
  15.403   .037    .576   .056
  15.811   .039    .641   .058
  13.522   .033    .381   .050
  13.946   .033    .395   .050
  10.308   .037    .783   .056
  17.616   .061   1.021   .091
  14.176   .034    .454   .051
  17.668   .057    .778   .083
  13.185   .033    .371   .050
  16.169   .040    .709   .060
  13.183   .033    .383   .050
  13.478   .033    .394   .050
  17.924   .062    .945   .093
  13.571   .033    .418   .051
  14.367   .033    .362   .050
  15.456   .036    .525   .055
  12.846   .033    .384   .050
  14.159   .033    .399   .050
  17.700   .059    .855   .084
  17.417   .052    .764   .076
  15.409   .036    .510   .054
  11.103   .032    .289   .048
  18.014   .061    .777   .090
  14.330   .033    .370   .050
  13.621   .033    .371   .050
  13.548   .036    .653   .054
  16.737   .043    .469   .061
  13.651   .033    .387   .050
  10.531   .036    .705   .055
  17.753   .063    .895   .088
  13.236   .033    .390   .050
  15.145   .035    .492   .053
  13.923   .033    .393   .050
  16.497   .044    .697   .064
  14.901   .035    .474   .052
  16.618   .042    .514   .061
  14.189   .034    .418   .051
  14.890   .035    .460   .052
  15.428   .037    .578   .055
  15.082   .037    .527   .056
  13.801   .033    .393   .050
  18.157   .067    .592   .089
  16.001   .041    .660   .060
  16.588   .044    .649   .063
  16.369   .043    .596   .062
  14.576   .034    .439   .052
  13.396   .033    .379   .050
  17.060   .049    .690   .070
  17.641   .056    .846   .082
  14.021   .034    .455   .051
  13.452   .033    .370   .050
  14.826   .035    .455   .052
  13.593   .033    .394   .050
  18.146   .065    .914   .094
  17.105   .049    .896   .074
  15.561   .037    .516   .055
  16.758   .041    .433   .060
  15.592   .037    .572   .056
  15.391   .036    .510   .054
  14.927   .035    .474   .053
  13.904   .033    .401   .051
  15.906   .037    .467   .056
  12.599   .034    .457   .051
  16.412   .040    .632   .061
  14.070   .034    .447   .052
  13.347   .033    .397   .050
  15.078   .035    .484   .053
  13.780   .033    .388   .050
  13.571   .033    .400   .050
  13.872   .033    .400   .051
  15.674   .038    .622   .057
  14.071   .034    .452   .052
  17.788   .056    .732   .081
  16.029   .038    .504   .057
  16.191   .038    .470   .057
  11.342   .031    .179   .047
  17.657   .052    .813   .080
  17.220   .049    .759   .072
  12.681   .033    .405   .050
  15.011   .035    .494   .054
  14.583   .035    .564   .054
  16.750   .043    .681   .063
  15.559   .036    .395   .053
  16.355   .041    .627   .061
  17.340   .049    .692   .071
  14.992   .035    .476   .053
  13.331   .033    .402   .050
  13.530   .033    .395   .050
  14.756   .035    .482   .053
  12.679   .033    .410   .050
  16.782   .045    .679   .067
  12.753   .034    .483   .052
  14.645   .034    .440   .052
  17.778   .056    .538   .077
  14.810   .035    .481   .053
  12.782   .035    .524   .053
  14.669   .035    .508   .053
  14.855   .035    .470   .053
  13.474   .033    .409   .050
  16.661   .043    .595   .062
  16.164   .040    .637   .060
  13.804   .033    .384   .050
  15.628   .037    .512   .055
  15.742   .038    .544   .057
  12.895   .035    .605   .054
  14.672   .035    .468   .052
  16.218   .041    .681   .061
  16.262   .042    .703   .062
  14.143   .034    .413   .051
  14.685   .035    .487   .053
  13.676   .034    .393   .051
  15.059   .036    .484   .054
  15.974   .039    .565   .059
  15.328   .035    .389   .053
  13.561   .033    .385   .050
  13.628   .034    .422   .051
  15.195   .036    .483   .054
  13.321   .033    .390   .050
  17.624   .052    .621   .076
  15.399   .036    .508   .055
  15.643   .037    .509   .055
  18.293   .073   1.135   .105
  16.491   .043    .629   .063
  16.428   .044    .763   .065
  18.249   .065    .397   .088
  14.571   .035    .436   .053
  16.615   .044    .704   .065
  13.635   .033    .367   .051
  16.454   .040    .391   .058
  16.185   .043    .569   .062
  14.842   .035    .468   .054
  15.373   .037    .505   .056
  14.425   .037    .638   .056
  16.828   .047    .669   .069
  16.507   .042    .644   .063
  16.837   .047    .702   .068
  17.259   .049    .759   .072
  18.073   .059    .347   .079
  17.299   .053    .758   .076
  16.387   .044    .607   .063
  16.698   .045    .647   .067
  15.262   .037    .419   .055
  17.231   .048    .758   .072
  17.090   .048    .697   .072
  17.176   .047    .668   .070
  15.586   .037    .412   .056
  18.342   .061    .596   .091
  17.163   .049    .682   .070
  16.920   .047    .691   .069
  16.804   .045    .678   .067
  17.434   .051    .317   .072
  16.176   .042    .440   .063
  17.256   .051    .775   .077
  18.529   .076    .933   .111
  18.463   .075    .848   .105
  13.719   .033    .417   .051
  11.297   .029    .055   .045
  17.012   .048    .711   .070
  13.793   .033    .388   .050
  10.479   .036    .678   .055
  11.316   .033    .417   .050
  12.152   .032    .307   .049
  15.288   .036    .497   .054
  18.422   .074   1.025   .106
  11.580   .031    .275   .048
  18.537   .074   1.043   .108
  17.215   .047    .780   .071
  12.005   .033    .404   .050
  14.431   .035    .454   .053
  17.197   .060    .523   .083
  16.188   .042    .465   .060
  14.731   .038    .432   .057
  12.650   .034    .373   .053
  18.363   .071   1.001   .104
  12.936   .035    .549   .053
  14.047   .034    .390   .052
  13.945   .033    .380   .051
  13.665   .034    .424   .052
  17.895   .056    .515   .079
  17.854   .061    .804   .085
  12.864   .033    .354   .051
  17.284   .051    .748   .072
  15.460   .039    .557   .058
  15.486   .038    .519   .057
  15.329   .036    .394   .054
  14.773   .037    .453   .055
  14.704   .037    .503   .055
  15.525   .038    .508   .057
  14.488   .036    .495   .055
  13.085   .034    .390   .053
  15.695   .038    .512   .058
  14.508   .036    .412   .054
  18.210   .063    .693   .092
  18.466   .076    .594   .105
  16.172   .044    .405   .065
  17.443   .056    .624   .079
  13.382   .033    .392   .050
  12.679   .036    .355   .054
   9.672   .038    .810   .057
  11.213   .032    .278   .048
  13.963   .035    .410   .052
   9.709   .038    .857   .058
  15.794   .039    .644   .059
  13.545   .037    .416   .053
  12.733   .033    .328   .050
  15.060   .039    .494   .058
  12.880   .035    .365   .054
  17.180   .047    .685   .070
  13.361   .038    .396   .057
  15.442   .041    .480   .061
  13.565   .039    .324   .058
  14.750   .039    .497   .059
  14.564   .039    .410   .060
  16.706   .076    .314   .112
  14.989   .043    .394   .063
  14.875   .043    .441   .064
  15.206   .044    .381   .065
  16.599   .045    .541   .069
  13.322   .033    .391   .050
  10.502   .034    .481   .052
  12.841   .033    .359   .050
  12.233   .033    .437   .051
  17.290   .051    .775   .076
  14.284   .050    .450   .073
  12.455   .042    .460   .059
  13.636   .041    .369   .061
  15.603   .044    .528   .066
  12.910   .042    .376   .061
  18.211   .068    .382   .091
  15.832   .041    .528   .060
  15.210   .048    .474   .071
  12.749   .033    .419   .051
  17.722   .072    .771   .106
