 13 TEFF'S       12 LOG G'S       8 FE/H'S        4 INDICES  (11 Aug 2003)
 3000. 3250. 3500. 3750. 4000. 4250. 4500. 4750. 5000. 5250. 5500. 5750. 6000.
-0.5 0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0
 [Fe/H] = -3.00: Color Index = b-y  
 1.978 1.880 1.700 1.513 1.298 1.085 0.898 0.740 0.622 0.514 0.416 0.340 0.266
 1.872 1.797 1.633 1.439 1.219 1.019 0.837 0.699 0.591 0.492 0.407 0.342 0.274
 1.786 1.665 1.536 1.324 1.136 0.953 0.787 0.662 0.563 0.475 0.401 0.343 0.283
 1.740 1.536 1.398 1.223 1.053 0.888 0.740 0.627 0.541 0.463 0.398 0.344 0.292
 1.711 1.455 1.285 1.124 0.963 0.820 0.699 0.600 0.522 0.457 0.398 0.347 0.302
 1.696 1.407 1.204 1.050 0.902 0.788 0.679 0.585 0.512 0.453 0.400 0.352 0.312
 1.702 1.380 1.155 1.001 0.871 0.758 0.662 0.577 0.510 0.454 0.404 0.359 0.322
 1.730 1.374 1.130 0.971 0.850 0.746 0.657 0.578 0.513 0.458 0.410 0.368 0.332
 1.776 1.386 1.121 0.954 0.841 0.746 0.657 0.584 0.520 0.465 0.418 0.377 0.342
 1.823 1.412 1.125 0.946 0.831 0.746 0.667 0.592 0.530 0.475 0.427 0.387 0.351
 1.795 1.445 1.140 0.944 0.823 0.742 0.672 0.603 0.541 0.487 0.437 0.397 0.361
 1.585 1.453 1.158 0.945 0.818 0.736 0.673 0.611 0.550 0.497 0.450 0.406 0.371
 [Fe/H] = -2.50: Color Index = b-y  
 1.994 1.859 1.657 1.476 1.273 1.072 0.885 0.729 0.613 0.505 0.410 0.337 0.264
 1.870 1.771 1.566 1.375 1.182 1.001 0.826 0.689 0.583 0.485 0.404 0.337 0.272
 1.748 1.637 1.452 1.247 1.084 0.929 0.777 0.654 0.556 0.471 0.399 0.339 0.281
 1.672 1.491 1.319 1.139 0.992 0.856 0.729 0.621 0.536 0.462 0.396 0.341 0.289
 1.623 1.395 1.225 1.043 0.909 0.793 0.688 0.593 0.520 0.457 0.396 0.345 0.298
 1.598 1.344 1.157 0.985 0.843 0.747 0.661 0.578 0.511 0.453 0.398 0.351 0.307
 1.594 1.317 1.120 0.959 0.818 0.719 0.642 0.568 0.507 0.452 0.402 0.358 0.318
 1.616 1.310 1.103 0.947 0.814 0.711 0.633 0.567 0.508 0.455 0.408 0.367 0.329
 1.664 1.327 1.101 0.941 0.818 0.715 0.635 0.571 0.513 0.461 0.415 0.376 0.339
 1.720 1.361 1.110 0.940 0.819 0.723 0.644 0.579 0.522 0.470 0.424 0.385 0.349
 1.725 1.405 1.127 0.945 0.818 0.727 0.653 0.588 0.532 0.480 0.434 0.394 0.359
