# V_std   s_V   (b-y)_s  s_by 
  16.281   .034    .476   .045
  12.443   .022    .402   .033
  12.581   .022    .389   .032
  11.216   .031    .662   .046
  16.407   .036    .568   .049
  13.835   .023    .382   .033
  16.808   .047    .759   .065
  17.245   .049    .713   .070
  12.105   .029    .615   .043
  13.648   .022    .382   .033
  12.787   .025    .502   .037
  16.240   .035    .615   .050
  12.672   .022    .386   .032
  15.521   .029    .510   .041
  13.748   .023    .401   .034
  12.071   .029    .605   .042
  13.347   .022    .341   .032
  12.924   .027    .563   .040
  14.446   .024    .427   .034
  11.067   .025    .074   .037
  11.399   .025    .084   .037
  10.450   .033    .699   .049
  13.529   .023    .399   .033
  12.864   .025    .488   .036
  16.429   .039    .587   .052
  12.751   .022    .370   .032
  16.425   .040    .584   .052
  12.313   .022    .377   .032
  13.237   .022    .382   .033
  13.739   .022    .384   .033
  13.914   .023    .383   .033
  13.038   .026    .536   .038
  12.689   .022    .398   .033
  12.877   .022    .374   .032
  15.742   .030    .531   .042
  15.587   .029    .505   .041
  13.687   .023    .381   .033
  16.431   .042    .709   .058
  13.826   .023    .395   .033
  16.000   .036    .636   .050
  14.036   .024    .448   .035
  17.021   .058    .939   .085
  16.038   .031    .521   .044
  16.213   .031    .488   .044
  11.412   .022    .190   .033
  16.750   .042    .660   .059
  13.367   .022    .394   .033
  15.756   .030    .531   .042
  15.411   .029    .503   .040
  15.677   .030    .484   .041
  16.615   .043    .682   .058
  16.220   .067    .618   .097
  16.015   .029    .394   .040
  16.914   .053    .783   .071
  15.983   .032    .506   .043
  13.391   .023    .395   .033
  12.954   .028    .571   .041
  12.783   .025    .481   .036
  10.718   .034    .721   .050
  13.132   .022    .386   .033
  15.747   .031    .542   .043
  17.260   .048    .527   .061
  15.510   .034    .662   .049
  17.540   .055    .479   .068
  11.602   .030    .638   .044
  12.734   .023    .407   .034
  16.106   .031    .418   .041
  13.885   .023    .381   .033
  13.820   .023    .395   .033
  16.475   .040    .651   .056
  12.281   .022    .376   .032
  15.498   .031    .585   .045
  13.437   .022    .390   .033
  12.618   .022    .383   .032
  15.535   .029    .528   .042
  17.238   .059    .923   .085
  12.716   .024    .457   .035
  12.247   .030    .622   .044
  16.739   .035    .463   .047
  15.480   .032    .595   .045
  12.896   .022    .354   .032
  11.009   .023    .161   .034
  14.217   .023    .406   .034
  13.732   .022    .367   .032
  17.612   .058    .623   .077
  13.234   .023    .406   .033
  15.223   .027    .486   .039
  12.753   .022    .384   .032
  15.755   .031    .561   .044
  11.182   .024    .116   .036
  17.781   .076    .891   .104
  12.325   .023    .166   .033
  12.686   .022    .391   .033
  16.363   .038    .682   .055
  14.036   .023    .417   .034
  13.115   .022    .390   .033
  15.444   .029    .529   .041
  16.724   .034    .442   .046
  14.930   .026    .476   .037
  17.511   .061    .848   .084
  16.555   .043    .749   .061
  15.891   .034    .637   .049
  13.187   .022    .392   .033
  15.757   .033    .628   .047
  17.651   .066    .811   .088
  14.137   .023    .407   .034
  14.401   .025    .482   .037
  12.873   .022    .401   .033
  15.736   .031    .585   .045
  10.512   .032    .684   .048
  17.575   .061    .758   .084
  13.851   .023    .409   .033
  12.695   .023    .448   .034
  15.806   .033    .606   .047
  12.852   .022    .386   .032
  12.814   .021    .325   .031
  16.616   .042    .698   .059
  14.665   .026    .500   .038
  14.201   .024    .428   .035
  17.605   .068    .979   .100
  12.789   .022    .393   .033
  17.182   .051    .700   .068
  13.540   .022    .373   .032
  13.292   .022    .369   .032
  16.192   .035    .590   .049
  17.662   .071    .896   .100
  15.587   .030    .524   .042
  12.591   .022    .388   .033
  13.316   .022    .392   .033
  14.202   .024    .453   .035
  16.984   .052    .709   .067
  12.878   .022    .375   .032
  11.489   .027    .548   .039
  16.258   .036    .574   .049
  16.419   .043    .687   .058
  16.276   .031    .395   .041
  13.346   .022    .379   .033
  16.680   .047    .682   .061
  15.713   .031    .559   .044
  13.250   .022    .374   .032
  15.313   .028    .495   .040
  11.422   .031    .645   .045
  17.151   .053    .688   .069
  15.248   .028    .483   .039
  16.284   .035    .575   .048
  13.155   .022    .392   .033
  15.849   .035    .604   .047
  12.968   .021    .300   .031
  11.268   .022    .299   .032
  13.208   .022    .378   .032
  12.823   .022    .366   .032
